Id,ExpId,Sentence,Distractor,Group
34,gv,The engineer instructed the apprentice to go test the valve.,x-x-x scournch throughped nop rhaughdged ic ip clault lur blieg.,B
35,gv,The engineer instructed the apprentice to check the valve.,x-x-x sproarnths screighlte ush screighked um ner lev phose.,C
36,gv,The engineer instructed the apprentice to test the valve.,x-x-x psonthed quaughpths ede sploules ek zol eds stot.,D
37,gv,The engineer taught the apprentice to go check the valve.,x-x-x stroughnch prawb kyv spaughtch uv ap roog vey mel.,E
38,gv,The engineer taught the apprentice to go test the valve.,x-x-x spacte flafs jek scroughmn va ed dend tef vasped.,F
39,gv,The engineer taught the apprentice to check the valve.,x-x-x tourgnth knakte yox smoughdged wa herke jyt irnths.,G
40,gv,The engineer taught the apprentice to test the valve.,x-x-x praughste dolched tiv dreighfths va av dwu toapths.,H
1,md,The new measures will probably help to reduce the strain.,x-x-x eed ghopte uscs dwermths stult av jurst vok hewck.,A
2,md,The new measures will help to reduce the strain.,x-x-x eed ghopte uscs stult av jurst vok hewck.,B
3,md,The majority of people will probably believe the rumors.,x-x-x pseifed ji ninck ud dwermths skipe vyb ryln.,C
4,md,The majority of people will believe the rumors.,x-x-x pseifed ji ninck ud skipe vyb ryln.,D
5,md,The successful company will perhaps continue with the production of toys.,x-x-x sploulled thoophth jirve phlorth slirzed ryds ned shrourfed zo dryf.,B
6,md,The successful company will continue with the production of toys.,x-x-x sploulled thoophth jirve slirzed ryds ned shrourfed zo dryf.,A
7,md,The angry customer will perhaps write a letter of complaint.,x-x-x sewthe fruich nunzed phlorth wux r tourfs va shroanned.,D
8,md,The angry customer will write a letter of complaint.,x-x-x sewthe fruich nunzed wux r tourfs va shroanned.,C
9,md,The proposed solutions would eventually make customer safety the norm.,x-x-x phlaughced traucked borf streighn spad spribbed flolth cuv saz.,C
10,md,The proposed solutions would make customer safety the norm.,x-x-x phlaughced traucked borf spad spribbed flolth cuv saz.,D
11,md,The inquisitive teacher would eventually hear about the incident.,x-x-x sploarcked vuiked stumms streighn urf taums bro croughnte.,A
12,md,The inquisitive teacher would hear about the incident.,x-x-x sploarcked vuiked stumms urf taums bro croughnte.,B
13,md,The new law would already require a lot of cooperation.,x-x-x gam hon dilc zighgs shrumpced r oss wa squighfths.,D
14,md,The new law would require a lot of cooperation.,x-x-x gam hon dilc shrumpced r oss wa squighfths.,C
15,md,The vast majority would already use the new technology.,x-x-x theild splildged domf zighgs mib vyg nud throarmbs.,B
16,md,The vast majority would use the new technology.,x-x-x theild splildged domf mib vyg nud throarmbs.,A
17,md,The smallest crack can actually turn into a large hole.,x-x-x sprormb ine buv thwurp pem nyz r pefs taum.,C
18,md,The smallest crack can turn into a large hole.,x-x-x sprormb ine buv pem nyz r pefs taum.,D
19,md,The youngest children can actually like playing the violin.,x-x-x spreuled highth baz thwurp um pampse pyv scombth.,A
20,md,The youngest children can like playing the violin.,x-x-x spreuled highth baz um pampse pyv scombth.,B
21,md,The smartest people can increasingly find themselves in big trouble.,x-x-x smylled bletts fim pourghed marg whympced ac gim skormb.,D
22,md,The smartest people can find themselves in big trouble.,x-x-x smylled bletts fim marg whympced ac gim skormb.,C
23,md,The innovative professors can increasingly try to teach new methods.,x-x-x creuthed spleests jir pourghed ung ol wymp jut thybe.,B
24,md,The innovative professors can try to teach new methods.,x-x-x creuthed spleests jir ung ol wymp jut thybe.,A
25,md,The current situation could easily lead to more problems.,x-x-x gaimth twimpce thwair psilv gwu wa tol jaibes.,A
26,md,The current situation could lead to more problems.,x-x-x gaimth twimpce psilv gwu wa tol jaibes.,B
27,md,The arrogant nephew could easily appear ungrateful.,x-x-x dwifth squylgns corgnth thwair straff flaindged.,C
28,md,The arrogant nephew could appear ungrateful.,x-x-x dwifth squylgns corgnth straff flaindged.,D
29,md,The attentive assistant could later tell that her boss was nervous.,x-x-x gnighks shroarbs zood gwerm yo vo yog erf cig tescked.,B
30,md,The attentive assistant could tell that her boss was nervous.,x-x-x gnighks shroarbs zood yo vo yog erf cig tescked.,A
31,md,The arrogant niece could later look ungrateful.,x-x-x snaitched shased fricks gwerm zup thrighphths.,D
32,md,The arrogant niece could look ungrateful.,x-x-x snaitched shased fricks zup thrighphths.,C
33,md,The new measures will probably help to reduce the strain.,x-x-x eed ghopte uscs dwermths stult av jurst vok hewck.,E
34,md,The new measures will help to reduce the strain.,x-x-x eed ghopte uscs stult av jurst vok hewck.,F
35,md,The majority of people will probably believe the rumors.,x-x-x pseifed ji ninck ud dwermths skipe vyb ryln.,G
36,md,The majority of people will believe the rumors.,x-x-x pseifed ji ninck ud skipe vyb ryln.,H
37,md,The successful company will perhaps continue with the production of toys.,x-x-x sploulled thoophth jirve phlorth slirzed ryds ned shrourfed zo dryf.,F
38,md,The successful company will continue with the production of toys.,x-x-x sploulled thoophth jirve slirzed ryds ned shrourfed zo dryf.,E
39,md,The angry customer will perhaps write a letter of complaint.,x-x-x sewthe fruich nunzed phlorth wux r tourfs va shroanned.,H
40,md,The angry customer will write a letter of complaint.,x-x-x sewthe fruich nunzed wux r tourfs va shroanned.,G
41,md,The proposed solutions would eventually make customer safety the norm.,x-x-x phlaughced traucked borf streighn spad spribbed flolth cuv saz.,G
42,md,The proposed solutions would make customer safety the norm.,x-x-x phlaughced traucked borf spad spribbed flolth cuv saz.,H
43,md,The inquisitive teacher would eventually hear about the incident.,x-x-x sploarcked vuiked stumms streighn urf taums bro croughnte.,E
44,md,The inquisitive teacher would hear about the incident.,x-x-x sploarcked vuiked stumms urf taums bro croughnte.,F
45,md,The new law would already require a lot of cooperation.,x-x-x gam hon dilc zighgs shrumpced r oss wa squighfths.,H
46,md,The new law would require a lot of cooperation.,x-x-x gam hon dilc shrumpced r oss wa squighfths.,G
47,md,The vast majority would already use the new technology.,x-x-x theild splildged domf zighgs mib vyg nud throarmbs.,F
48,md,The vast majority would use the new technology.,x-x-x theild splildged domf mib vyg nud throarmbs.,E
49,md,The smallest crack can actually turn into a large hole.,x-x-x sprormb ine buv thwurp pem nyz r pefs taum.,G
50,md,The smallest crack can turn into a large hole.,x-x-x sprormb ine buv pem nyz r pefs taum.,H
51,md,The youngest children can actually like playing the violin.,x-x-x spreuled highth baz thwurp um pampse pyv scombth.,E
52,md,The youngest children can like playing the violin.,x-x-x spreuled highth baz um pampse pyv scombth.,F
53,md,The smartest people can increasingly find themselves in big trouble.,x-x-x smylled bletts fim pourghed marg whympced ac gim skormb.,H
54,md,The smartest people can find themselves in big trouble.,x-x-x smylled bletts fim marg whympced ac gim skormb.,G
55,md,The innovative professors can increasingly try to teach new methods.,x-x-x creuthed spleests jir pourghed ung ol wymp jut thybe.,F
56,md,The innovative professors can try to teach new methods.,x-x-x creuthed spleests jir ung ol wymp jut thybe.,E
57,md,The current situation could easily lead to more problems.,x-x-x gaimth twimpce thwair psilv gwu wa tol jaibes.,E
58,md,The current situation could lead to more problems.,x-x-x gaimth twimpce psilv gwu wa tol jaibes.,F
59,md,The arrogant nephew could easily appear ungrateful.,x-x-x dwifth squylgns corgnth thwair straff flaindged.,G
60,md,The arrogant nephew could appear ungrateful.,x-x-x dwifth squylgns corgnth straff flaindged.,H
61,md,The attentive assistant could later tell that her boss was nervous.,x-x-x gnighks shroarbs zood gwerm yo vo yog erf cig tescked.,F
62,md,The attentive assistant could tell that her boss was nervous.,x-x-x gnighks shroarbs zood yo vo yog erf cig tescked.,E
63,md,The arrogant niece could later look ungrateful.,x-x-x snaitched shased fricks gwerm zup thrighphths.,H
64,md,The arrogant niece could look ungrateful.,x-x-x snaitched shased fricks zup thrighphths.,G
